set_id,set_url,timestamp,file,hits
1hm2z21t,https://www.1001tracklists.com/tracklist/1hm2z21t/lost-kings-kineticfield-edc-new-york-united-states-2016-05-15.html,2026-01-31T01:39:27+00:00,1hm2z21t_20260131T013927Z.html,captcha
97w62s9,https://www.1001tracklists.com/tracklist/97w62s9/avicii-marquee-las-vegas-united-states-2013-04-27.html,2026-01-31T01:39:17+00:00,97w62s9_20260131T013917Z.html,captcha
bp6sq8k,https://www.1001tracklists.com/tracklist/bp6sq8k/afrojack-jacked-radio-611-2023-07-07.html,2026-01-31T01:39:06+00:00,bp6sq8k_20260131T013906Z.html,captcha
2ghmgc91,https://www.1001tracklists.com/tracklist/2ghmgc91/moguai-punx-up-the-volume-400-2020-11-15.html,2026-01-31T01:38:56+00:00,2ghmgc91_20260131T013856Z.html,captcha
537wsgt,https://www.1001tracklists.com/tracklist/537wsgt/tchami-horizon-stage-sunset-music-festival-tampa-fl-united-states-2015-05-23.html,2026-01-31T01:38:45+00:00,537wsgt_20260131T013845Z.html,captcha
13td22v1,https://www.1001tracklists.com/tracklist/13td22v1/dom-dolla-vintage-culture-mainstage-ultra-music-festival-miami-united-states-2023-03-25.html,2026-01-31T01:38:34+00:00,13td22v1_20260131T013834Z.html,captcha
2k5kj0zt,https://www.1001tracklists.com/tracklist/2k5kj0zt/vicetone-spinnin-sessions-248-2018-02-08.html,2026-01-31T01:38:24+00:00,2k5kj0zt_20260131T013824Z.html,captcha
1lhv73b1,https://www.1001tracklists.com/tracklist/1lhv73b1/sam-feldt-siriusxm-house-of-chill-2019-09-13.html,2026-01-31T01:38:13+00:00,1lhv73b1_20260131T013813Z.html,captcha
1f1l1g0k,https://www.1001tracklists.com/tracklist/1f1l1g0k/sigala-sounds-of-sigala-031-2022-04-05.html,2026-01-31T01:38:02+00:00,1f1l1g0k_20260131T013802Z.html,captcha
2cnn9nn9,https://www.1001tracklists.com/tracklist/2cnn9nn9/illenium-phoenix-radio-039-2019-09-26.html,2026-01-31T01:37:51+00:00,2cnn9nn9_20260131T013751Z.html,captcha
1f7r5s79,https://www.1001tracklists.com/tracklist/1f7r5s79/cloonee-ex-macello-milan-italy-2025-04-30.html,2026-01-31T01:37:41+00:00,1f7r5s79_20260131T013741Z.html,captcha
13rnhmqt,https://www.1001tracklists.com/tracklist/13rnhmqt/sophia-essel-ladebare-hugel-toolroom-radio-630-2022-04-25.html,2026-01-31T01:37:31+00:00,13rnhmqt_20260131T013731Z.html,captcha
286rzvct,https://www.1001tracklists.com/tracklist/286rzvct/sam-divine-kyle-watson-defected-broadcasting-house-the-basement-defected-hq-london-united-kingdom-2024-10-23.html,2026-01-31T01:37:20+00:00,286rzvct_20260131T013720Z.html,captcha
1jkkqvt,https://www.1001tracklists.com/tracklist/1jkkqvt/x-vertigo-moguai-minaya-vikus-x-vertigo-attack-014-2013-05-17.html,2026-01-31T01:37:09+00:00,1jkkqvt_20260131T013709Z.html,captcha
1txlglxt,https://www.1001tracklists.com/tracklist/1txlglxt/jonas-blue-electronic-nature-radio-show-012-2019-02-03.html,2026-01-31T01:36:59+00:00,1txlglxt_20260131T013659Z.html,captcha
264dlnct,https://www.1001tracklists.com/tracklist/264dlnct/tune-brothers-dom-dolla-housesession-radioshow-1145-2019-11-29.html,2026-01-31T01:36:48+00:00,264dlnct_20260131T013648Z.html,captcha
y9s9s2k,https://www.1001tracklists.com/tracklist/y9s9s2k/alesso-circuitgrounds-edc-orlando-united-states-2024-11-10.html,2026-01-31T01:36:37+00:00,y9s9s2k_20260131T013637Z.html,captcha
1qlktl9k,https://www.1001tracklists.com/tracklist/1qlktl9k/lost-frequencies-lost-radio-show-446-2025-10-09.html,2026-01-31T01:36:27+00:00,1qlktl9k_20260131T013627Z.html,captcha
1ykxhtr9,https://www.1001tracklists.com/tracklist/1ykxhtr9/martin-garrix-the-martin-garrix-show-201-2018-07-13.html,2026-01-31T01:36:18+00:00,1ykxhtr9_20260131T013618Z.html,captcha
2bnc1ykk,https://www.1001tracklists.com/tracklist/2bnc1ykk/dada-life-podcast-june-2017-06-29.html,2026-01-31T01:36:08+00:00,2bnc1ykk_20260131T013608Z.html,captcha
2gq16qj1,https://www.1001tracklists.com/tracklist/2gq16qj1/mike-williams-on-track-372-2024-02-24.html,2026-01-31T01:35:56+00:00,2gq16qj1_20260131T013556Z.html,captcha
uklcj11,https://www.1001tracklists.com/tracklist/uklcj11/john-summit-dom-dolla-liv-edc-week-las-vegas-2024-05-16.html,2026-01-31T01:35:47+00:00,uklcj11_20260131T013547Z.html,captcha
6x3ufj9,https://www.1001tracklists.com/tracklist/6x3ufj9/shermanology-rave-of-the-dead-pacha-nyc-mix-2012-10-27.html,2026-01-31T01:35:37+00:00,6x3ufj9_20260131T013537Z.html,captcha
pv8jyf1,https://www.1001tracklists.com/tracklist/pv8jyf1/axwell-umf-radio-750-2023-09-27.html,2026-01-31T01:35:27+00:00,pv8jyf1_20260131T013527Z.html,captcha
2txkld79,https://www.1001tracklists.com/tracklist/2txkld79/kshmr-the-chainsmokers-umf-radio-500-live-at-ultra-miami-2018-2018-12-07.html,2026-01-31T01:35:16+00:00,2txkld79_20260131T013516Z.html,captcha
24g8c6qk,https://www.1001tracklists.com/tracklist/24g8c6qk/dj-fuel-gryffin-the-party-life-radio-show-ep573-2024-02-22.html,2026-01-31T01:35:05+00:00,24g8c6qk_20260131T013505Z.html,captcha
1nlgz7bk,https://www.1001tracklists.com/tracklist/1nlgz7bk/alan-walker-perrys-lollapalooza-united-states-chicago-2023-08-06.html,2026-01-31T01:34:54+00:00,1nlgz7bk_20260131T013454Z.html,captcha
2uqsgw2t,https://www.1001tracklists.com/tracklist/2uqsgw2t/sigala-ministry-of-sound-recordings-greatest-hits-edition-mini-mix-2022-09-07.html,2026-01-31T01:34:45+00:00,2uqsgw2t_20260131T013445Z.html,captcha
189gz19,https://www.1001tracklists.com/tracklist/189gz19/shermanology-shermania-010-2014-06-10.html,2026-01-31T01:34:34+00:00,189gz19_20260131T013434Z.html,captcha
2h97vfx9,https://www.1001tracklists.com/tracklist/2h97vfx9/the-chainsmokers-memories-do-not-open-tour-valley-view-casino-center-san-diego-united-states-2017-05-08.html,2026-01-31T01:34:24+00:00,2h97vfx9_20260131T013424Z.html,captcha
